periodo;data_inicio;data_fim;total_artigos;artigos_instabilidade;artigos_estabilidade;porcentagem_instabilidade;títulos_amostra;resumo_analise
2017-07-1;10/07/2017;24/07/2017;7;2;5;28.57;"Saúde libera R$ 20 milhões para estudos sobre a nutrição dos brasileiros; Cabral admite uso generalizado de caixa 2 nas campanhas";"Detectada instabilidade política em 2 de 7 artigos (28.6%). Principais indicadores: [""Palavras 'diário' encontradas (indicador de estabilidade)"", ""Palavra-chave 'parlamentar' encontrada (categoria: governabilidade)""]"
2018-01-2;06/01/2018;20/01/2018;28;18;10;64.29;"Família de bebê atropelada em Copacabana quer indenização de motorista; Trump não negociará sobre imigração enquanto durar paralisação do governo; Atentado em hotel de Cabul deixa 3 feridos; dois envolvidos em ataque são mortos";"Detectada instabilidade política em 18 de 28 artigos (64.3%). Principais indicadores: [""Palavra-chave 'protesto' encontrada (categoria: protestos)"", ""Palavra-chave 'crise' encontrada (categoria: crises)"", ""Palavra-chave 'urgente' encontrada (categoria: crises)""]"
2018-01-3;21/01/2018;04/02/2018;733;464;269;63.30;"Pesquisadores comprovam que fumaça das queimadas da Amazônia pode causar câncer; Dia de Combate à Intolerância Religiosa homenageia Abdias Nascimento; Curador da Mostra de Tiradentes pede editais para filmes dirigidos por negros";"Detectada instabilidade política em 464 de 733 artigos (63.3%). Principais indicadores: [""Palavra-chave 'mudança' encontrada (categoria: mudanças)"", ""Palavra-chave 'violência' encontrada (categoria: violencia)"", ""Palavra-chave 'mudança' encontrada (categoria: mudanças)""]"
2018-02-4;05/02/2018;19/02/2018;832;521;311;62.62;"Interventor do Sesc/Senac Rio faz balanço e critica gestão do antecessor; Morto aos 76 anos, ex-deputado Caó marcou na Constituição sua luta antirracista; CNI diz que mais da metade da indústria do país precisa dar um salto tecnológico";"Detectada instabilidade política em 521 de 832 artigos (62.6%). Principais indicadores: [""Palavra-chave 'disputa' encontrada (categoria: conflitos)"", ""Palavra-chave 'parlamentar' encontrada (categoria: governabilidade)"", ""Palavra-chave 'mudança' encontrada (categoria: mudanças)""]"
2018-02-5;20/02/2018;06/03/2018;851;560;291;65.80;"Senadores discutem decreto de intervenção no Rio de Janeiro; Câmara entra com ação no STF para garantir prerrogativa de cassar deputado; Exército diz em nota que equipe de intervenção será anunciada nos próximos dias";"Detectada instabilidade política em 560 de 851 artigos (65.8%). Principais indicadores: [""Palavra-chave 'crise' encontrada (categoria: crises)"", ""Palavra-chave 'parlamentar' encontrada (categoria: governabilidade)"", ""Palavra-chave 'militar' encontrada (categoria: golpes)""]"
2018-03-6;07/03/2018;21/03/2018;833;567;266;68.07;"Temer e Cármen Lúcia participam de seminário que celebra 25 anos da AGU; Deputados aprovam projeto com perda do poder familiar em caso de feminicídio; Câmara aprova crime de importunação sexual e aumenta pena para estupro coletivo";"Detectada instabilidade política em 567 de 833 artigos (68.1%). Principais indicadores: [""Palavra-chave 'conflito' encontrada (categoria: conflitos)"", ""Palavra-chave 'violência' encontrada (categoria: violencia)"", ""Palavra-chave 'crime' encontrada (categoria: violencia)""]"
2018-03-7;22/03/2018;05/04/2018;789;523;266;66.29;"Mineradoras terão que garantir exames de saúde a moradores de Barcarena; Pezão diz que ficou surpreso com o total de recursos para a segurança do Rio; Fórum debate adaptação de comunidades tradicionais às mudanças climáticas";"Detectada instabilidade política em 523 de 789 artigos (66.3%). Principais indicadores: [""Palavra-chave 'emergência' encontrada (categoria: crises)"", ""Palavra-chave 'militar' encontrada (categoria: golpes)"", ""Palavra-chave 'mudança' encontrada (categoria: mudanças)""]"
2018-04-8;06/04/2018;20/04/2018;876;621;255;70.89;"Mais de 50 cidades têm atos a favor do ex-presidente Lula; Justiça Federal nega pedido da prefeitura de BH para administrar Anel Rodoviário; Cármen Lúcia mantém relatoria de novo recurso de Lula com Edson Fachin";"Detectada instabilidade política em 621 de 876 artigos (70.9%). Principais indicadores: [""Palavra-chave 'incidente' encontrada (categoria: golpes)"", ""Palavra-chave 'tensão' encontrada (categoria: conflitos)"", ""Palavra-chave 'impasse' encontrada (categoria: governabilidade)""]"
2018-04-9;21/04/2018;05/05/2018;753;483;270;64.14;"Brasil comemora suspensão dos testes nucleares da Coreia do Norte; Receita espera por 14 milhões de declarações do IR até 30 de abril; Governo pode adiar reajuste dos servidores, diz ministro da Fazenda";"Detectada instabilidade política em 483 de 753 artigos (64.1%). Principais indicadores: [""Palavra-chave 'tensão' encontrada (categoria: conflitos)"", ""Palavra-chave 'incidente' encontrada (categoria: golpes)"", ""Palavra-chave 'disputa' encontrada (categoria: conflitos)""]"
2018-05-10;06/05/2018;20/05/2018;839;582;257;69.37;"Líbano tem eleição com participação de 49,2% da população, diz governo; Em Boa Vista, 871 venezuelanos são levados de praça para abrigos; Com desvalorização do peso, Argentina sobe juros para 40% ao ano";"Detectada instabilidade política em 582 de 839 artigos (69.4%). Principais indicadores: [""Palavra-chave 'parlamentar' encontrada (categoria: governabilidade)"", ""Palavra-chave 'crise' encontrada (categoria: crises)"", 'Contexto político negativo detectado na análise qualitativa']"
